url,cse,score,reason,match_type
login-abdm.gov.in,nha,0.98,exact_label,lexical
abdm-login.gov.in,nha,0.98,exact_label,lexical
secure-abdm.gov.in,nha,0.98,exact_label,lexical
abdm-secure.gov.in,nha,0.98,exact_label,lexical
verify-abdm.gov.in,nha,0.98,exact_label,lexical
abdm-verify.gov.in,nha,0.98,exact_label,lexical
portal-abdm.gov.in,nha,0.98,exact_label,lexical
abdm-portal.gov.in,nha,0.98,exact_label,lexical
auth-abdm.gov.in,nha,0.98,exact_label,lexical
abdm-auth.gov.in,nha,0.98,exact_label,lexical
mg0vcloud.in,nic,0.98,exact_label,lexical
mgovcl0ud.in,nic,0.98,exact_label,lexical
login-mgovcloud.in,nic,0.98,exact_label,lexical
mgovcloud-login.in,nic,0.98,exact_label,lexical
secure-mgovcloud.in,nic,0.98,exact_label,lexical
mgovcloud-secure.in,nic,0.98,exact_label,lexical
verify-mgovcloud.in,nic,0.98,exact_label,lexical
mgovcloud-verify.in,nic,0.98,exact_label,lexical
portal-mgovcloud.in,nic,0.98,exact_label,lexical
mgovcloud-portal.in,nic,0.98,exact_label,lexical
auth-mgovcloud.in,nic,0.98,exact_label,lexical
mgovcloud-auth.in,nic,0.98,exact_label,lexical
a1ims.edu,aiims,0.98,exact_label,lexical
alims.edu,aiims,0.98,exact_label,lexical
ai1ms.edu,aiims,0.98,exact_label,lexical
ailms.edu,aiims,0.98,exact_label,lexical
login-aiims.edu,aiims,0.98,exact_label,lexical
aiims-login.edu,aiims,0.98,exact_label,lexical
secure-aiims.edu,aiims,0.98,exact_label,lexical
aiims-secure.edu,aiims,0.98,exact_label,lexical
verify-aiims.edu,aiims,0.98,exact_label,lexical
aiims-verify.edu,aiims,0.98,exact_label,lexical
portal-aiims.edu,aiims,0.98,exact_label,lexical
aiims-portal.edu,aiims,0.98,exact_label,lexical
auth-aiims.edu,aiims,0.98,exact_label,lexical
aiims-auth.edu,aiims,0.98,exact_label,lexical
a1imsexams.ac.in,aiims,0.98,exact_label,lexical
alimsexams.ac.in,aiims,0.98,exact_label,lexical
ai1msexams.ac.in,aiims,0.98,exact_label,lexical
ailmsexams.ac.in,aiims,0.98,exact_label,lexical
aiims3xams.ac.in,aiims,0.93,prefix_suffix,lexical
aiimsex4ms.ac.in,aiims,0.93,prefix_suffix,lexical
aiimsexam5.ac.in,aiims,0.93,prefix_suffix,lexical
login-aiimsexams.ac.in,aiims,0.98,exact_label,lexical
