url,domain,target_brand_domain,critical_sector_entity_name,source_label,source_file,source_row,having_ip,have_at_symbol,url_length,url_depth,redirection,http_domain,tiny_url,prefix_suffix,digit_count,special_char_count,entropy,lexical_similarity_score,min_edit_distance_to_brand_domain,homoglyph_similarity_score,brand_token_in_subdomain,brand_token_in_path,brand_not_in_registered_domain,subdomain_depth,matched_brand_domain,registered_domain,dns_check_pass,dns_resolves_to_ip,resolved_ips,cname_exists,cname_chain_length,nameserver_reputation_score,passive_dns_first_seen_days,domain_age_days,domain_expiry_days,registrar_reputation_score,asn_reputation_score,ip_seen_with_many_brands,https_enabled,ssl_valid,cert_age_days,ct_log_first_seen_days,url_fetch_success,page_fetch_success,redirect_count,redirect_cross_domain_count,page_render_success,has_login_form,has_password_input,form_action_external,brand_token_or_logo_present,logo_detected,logo_brand_matches_target_brand,logo_brand_domain_mismatch,visual_brand_domain_mismatch,favicon_hash,favicon_hash_matches_target_brand,favicon_hash_matches_known_phish,html_dom_hash,html_dom_hash_matches_known_phish,same_html_hash_domain_count_7d,fetch_status_code,fetch_error,dns_error,tls_error,dns_status,http_status,tls_status,page_status,nameservers,registrant_name,registrar_name,hosting_isp,hosting_country,registrant_country,rdap_status,whois_status,extraction_status,high_lexical_similarity,no_login_form,no_brand_visual_claim,suspected_inactive,suspected_active_infra,suspected_active_no_phish_evidence,phishing,phishing_campaign,validation_status,validation_reason,label_conflict,include_in_ml,label,standard_score,standard_threshold,standard_prediction,hardened_score,hardened_threshold,hardened_prediction,final_classification,classification_confidence,recommended_action,classification_reason
http://h13vl.top,h13vl.top,myvi.in,Vodafone Idea (VI),unlabeled,main_detector_targets,0,0,0,16,0,0,0,0,0,2,0,3.327819531114783,0.380952,3,0.47619,0,0,1,0,hdfclife.com,h13vl.top,1,1,206.119.188.30,0,0,6,-1,27,338,8,-1,1,1,1,2,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,a52a5bca14fdf9d1,0,1,200,,,,success,success,success,success,ns1.spixiv.com;ns2.spixiv.com,,GoDaddy.com,,,,success,skipped,complete,0,1,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,0,0,0,0.11823664992940427,0.825,0,0.8464542397657999,0.5299999999999999,1,suspicious_needs_review,medium,manual_review_or_monitor,hardened model flags suspicious infrastructure but standard model is below threshold
http://neuronest.clinic,neuronest.clinic,accounts.mgovcloud.in,National Informatics Centre (NIC),unlabeled,main_detector_targets,0,0,0,23,0,0,0,0,0,0,0,3.7622673906514943,0.85,0,0.85,0,0,0,0,accounts.mgovcloud.in,neuronest.clinic,1,1,103.102.234.15,0,0,6,-1,29,336,8,6,0,1,1,26,-1,1,1,0,0,1,0,0,0,1,1,0,1,1,,0,0,107b219b54e78aa2,0,1,200,,,,success,success,success,success,eu.solidhosting.pro;in.solidhosting.pro,,"GoDaddy.com, LLC",Parallel Web Cloud Services administrator,,,success,skipped,complete,1,1,0,0,0,0,1,0,phishing,visual brand match on unauthorized domain,0,1,1,1.0,0.825,1,0.9953456640388114,0.5299999999999999,1,confirmed_phishing,high,block_or_escalate_as_phishing,standard model exceeds conservative high-confidence threshold
http://nlpjq.vip,nlpjq.vip,myvi.in,Vodafone Idea (VI),unlabeled,main_detector_targets,0,0,0,16,0,0,0,0,0,0,0,3.452819531114783,0.526316,2,0.526316,0,0,1,0,npr.gov.in,nlpjq.vip,1,1,103.238.130.40,0,0,6,-1,30,335,4,6,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,ClientOSError,,SSLCertVerificationError,success,error,invalid,empty,n1.xundns.com;n2.xundns.com,,Dynadot Inc,Network Utilities,,,success,skipped,partial,0,1,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,0,0,0,0.022541371158392436,0.825,0,0.43833085986688614,0.5299999999999999,0,low_risk,low,no_phishing_action,both models are below threshold and pipeline status is not suspicious
http://vineromance.com,vineromance.com,myvi.in,Vodafone Idea (VI),unlabeled,main_detector_targets,0,0,0,22,0,0,0,0,0,0,0,3.8230679822736615,0.608696,2,0.608696,0,0,1,0,iocl.com,vineromance.com,1,1,217.160.0.149,0,0,6,-1,8064,336,6,-1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,4a6f101b4e00871e,0,100,404,,,SSLError,success,http_404,invalid,success,ns1051.ui-dns.biz;ns1051.ui-dns.com;ns1051.ui-dns.de;ns1051.ui-dns.org,,IONOS SE,,,,success,skipped,partial,0,1,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,0,0,0,0.020917902779943133,0.825,0,0.8043304929584731,0.5299999999999999,1,suspicious_needs_review,medium,manual_review_or_monitor,hardened model flags suspicious infrastructure but standard model is below threshold
http://viagrakorea.com,viagrakorea.com,myvi.in,Vodafone Idea (VI),unlabeled,main_detector_targets,0,0,0,22,0,0,0,0,0,0,0,3.8796640049025934,0.580645,2,0.580645,0,0,1,0,canararobeco.com,viagrakorea.com,1,1,185.230.63.171,0,0,6,-1,411,319,4,6,1,1,1,26,-1,1,1,2,0,1,0,0,0,0,0,0,0,0,956e2ee1639c9c83,0,0,b7ed47be76ea818f,0,1,200,,,,success,success,success,success,ns10.wixdns.net;ns11.wixdns.net,,"NameCheap, Inc.",Stanislav Panich,,,success,skipped,complete,0,1,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,0,0,0,0.23908832337836658,0.825,0,0.991467492921946,0.5299999999999999,1,suspicious_needs_review,medium,manual_review_or_monitor,hardened model flags suspicious infrastructure but standard model is below threshold
http://nickslastresort.com,nickslastresort.com,accounts.mgovcloud.in,National Informatics Centre (NIC),unlabeled,main_detector_targets,0,0,0,26,0,0,0,1,0,0,0,3.902174814211728,0.85,0,0.85,0,0,0,0,accounts.mgovcloud.in,nickslastresort.com,1,1,198.54.126.6,0,0,6,-1,2951,336,8,-1,0,1,1,75,-1,1,1,1,0,1,0,0,0,1,1,1,1,1,,0,0,d21c02178d6f6a59,0,1,200,,,,success,success,success,success,ns31.domaincontrol.com;ns32.domaincontrol.com,,"GoDaddy.com, LLC",,,,success,skipped,complete,1,1,0,0,0,0,1,0,phishing,visual brand match on unauthorized domain,0,1,1,1.0,0.825,1,0.9978840782122904,0.5299999999999999,1,confirmed_phishing,high,block_or_escalate_as_phishing,standard model exceeds conservative high-confidence threshold
http://betvn14.vip,betvn14.vip,myvi.in,Vodafone Idea (VI),unlabeled,main_detector_targets,0,0,0,18,0,0,0,0,0,2,0,3.57243125132212,0.461538,3,0.461538,0,0,1,0,netpnb.com,betvn14.vip,1,1,185.53.179.128,0,0,6,-1,408,322,4,6,1,1,1,21,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,,0,0,84d5e8f57820c7b0,0,1,200,,,,success,success,success,success,ns1.dyna-ns.net;ns2.dyna-ns.net,,Dynadot Inc,Andreas Lunz,,,success,skipped,complete,0,1,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,0,0,0,0.22337875242127087,0.825,0,0.953311242921946,0.5299999999999999,1,suspicious_needs_review,medium,manual_review_or_monitor,hardened model flags suspicious infrastructure but standard model is below threshold
http://videosubscription.com,videosubscription.com,myvi.in,Vodafone Idea (VI),unlabeled,main_detector_targets,0,0,0,28,0,0,0,0,0,0,0,4.012188403968661,0.55,1,0.55,0,0,1,0,icicisecurities.com,videosubscription.com,1,1,76.223.54.146,0,0,6,-1,8795,336,8,8,1,1,0,-1,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,7619719201817c75,0,2223,200,,,SSLEOFError,success,success,invalid,success,ns1.afternic.com;ns2.afternic.com,,"GoDaddy.com, LLC","Amazon.com, Inc.",,,success,skipped,partial,0,1,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,0,0,0,0.030468409586056646,0.825,0,0.515424420517702,0.5299999999999999,0,low_risk,low,no_phishing_action,both models are below threshold and pipeline status is not suspicious
http://orbis-clinnic.site,orbis-clinnic.site,accounts.mgovcloud.in,National Informatics Centre (NIC),unlabeled,main_detector_targets,0,0,0,25,0,0,0,0,1,0,1,3.813660689688186,0.85,0,0.85,0,0,0,0,accounts.mgovcloud.in,orbis-clinnic.site,1,1,82.29.199.11,0,0,4,-1,25,340,6,-1,0,1,1,25,-1,1,1,1,0,1,1,1,0,1,1,0,1,1,c5375ace319d6231,0,0,6ab64d88d506362c,0,1,200,,,,success,success,success,success,cosmos.dns-parking.com;nova.dns-parking.com,,"HOSTINGER operations, UAB",,,,success,skipped,complete,1,0,0,0,0,0,1,0,phishing,password input plus brand token/logo evidence,0,1,1,1.0,0.825,1,0.995,0.5299999999999999,1,confirmed_phishing,high,block_or_escalate_as_phishing,standard model exceeds conservative high-confidence threshold
http://vilamonteor.com,vilamonteor.com,myvi.in,Vodafone Idea (VI),unlabeled,main_detector_targets,0,0,0,22,0,0,0,0,0,0,0,3.845350936622436,0.62069,3,0.62069,0,0,1,0,camsonline.com,vilamonteor.com,1,1,185.158.133.1,0,0,6,-1,41,690,6,-1,1,1,1,24,-1,1,1,1,0,1,0,0,0,0,0,0,0,0,cc6733989c656696,0,0,f778f9ffdeffb1bf,0,1,200,,,,success,success,success,success,ns1039.ui-dns.com;ns1041.ui-dns.org;ns1068.ui-dns.de;ns1081.ui-dns.biz,,IONOS SE,,,,success,skipped,complete,0,1,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,0,0,0,0.14171446122984763,0.825,0,0.9867267152549469,0.5299999999999999,1,suspicious_needs_review,medium,manual_review_or_monitor,hardened model flags suspicious infrastructure but standard model is below threshold
http://kewgardensclinic.online,kewgardensclinic.online,accounts.mgovcloud.in,National Informatics Centre (NIC),unlabeled,main_detector_targets,0,0,0,30,0,0,0,0,0,0,0,4.056564762130955,0.85,0,0.85,0,0,0,0,accounts.mgovcloud.in,kewgardensclinic.online,1,1,213.171.195.105,0,0,6,-1,34,331,6,6,1,0,0,-1,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,c6873b78d091a72e,0,0,07c1c4c3485323e3,0,6,200,,,TimeoutError,success,success,error,success,ns1.livedns.co.uk;ns2.livedns.co.uk;ns3.livedns.co.uk,,IONOS SE,AS15418-MNT,,,success,skipped,partial,1,1,1,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,0,1,0,0.18326804816748876,0.825,0,0.09415608970184391,0.5299999999999999,0,suspicious_needs_review,low,manual_review_or_monitor,pipeline status is suspected_active_no_phish_evidence but both models are below threshold
http://vilamargot.com,vilamargot.com,myvi.in,Vodafone Idea (VI),unlabeled,main_detector_targets,0,0,0,21,0,0,0,1,0,0,0,3.7849418274376423,0.6,3,0.6,0,0,1,0,icicilombard.com,vilamargot.com,1,1,198.251.81.14,0,0,6,-1,7696,339,8,-1,0,1,1,16,-1,1,1,1,0,1,0,0,0,0,0,0,0,0,,0,0,2e6885bf84e71223,0,1,200,,,,success,success,success,success,ns1.creativead.me;ns2.creativead.me,,"GoDaddy.com, LLC",,,,success,skipped,complete,0,1,1,0,0,0,0,0,below_high_lexical_threshold,lexical_similarity_score < 0.75,0,0,0,0.19171446122984764,0.825,0,0.9809290832534607,0.5299999999999999,1,suspicious_needs_review,medium,manual_review_or_monitor,hardened model flags suspicious infrastructure but standard model is below threshold
