lexical_similarity_score,min_edit_distance_to_brand_domain,homoglyph_similarity_score,brand_token_in_subdomain,brand_token_in_path,brand_not_in_registered_domain,subdomain_depth,dns_check_pass,dns_resolves_to_ip,cname_exists,cname_chain_length,nameserver_reputation_score,passive_dns_first_seen_days,domain_age_days,domain_expiry_days,registrar_reputation_score,asn_reputation_score,ip_seen_with_many_brands,https_enabled,ssl_valid,cert_age_days,ct_log_first_seen_days,url_fetch_success,redirect_count,redirect_cross_domain_count,page_render_success,has_login_form,has_password_input,form_action_external,logo_detected,logo_brand_matches_target_brand,logo_brand_domain_mismatch,favicon_similarity_score,logo_similarity_score,html_dom_similarity_score,high_lexical_similarity,page_fetch_success,no_login_form,no_brand_visual_claim,brand_token_or_logo_present,visual_brand_domain_mismatch,same_html_hash_domain_count_7d,suspected_inactive,suspected_active_infra,suspected_active_no_phish_evidence,phishing,phishing_campaign,validation_status,validation_reason,extraction_status,dns_status,rdap_status,whois_status,http_status,tls_status,page_status,label
0.916667,0,0.916667,0,0,0,0,1,1,0,0,6,-1,306,59,4,-1,0,1,0,-1,-1,1,1,1,1,1,0,1,0,0,0,0.0,0.0,0.0,1,1,0,1,0,0,2,0,0,0,0,0,suspected_unconfirmed,high lexical similarity but insufficient phishing evidence,partial,success,success,skipped,success,invalid,success,0
0.947368,0,0.947368,0,0,0,0,1,1,0,0,6,-1,318,47,6,6,0,0,0,-1,-1,1,1,1,1,0,0,0,0,0,0,0.3125,0.0,0.4844,1,1,1,1,0,0,2,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,partial,success,success,skipped,success,error,success,0
0.947368,0,0.947368,0,0,0,0,1,1,0,0,6,-1,231,134,6,6,0,0,0,-1,-1,1,1,1,1,0,0,0,0,0,0,0.3125,0.0,0.4844,1,1,1,1,0,0,2,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,partial,success,success,skipped,success,error,success,0
0.916667,0,0.916667,0,0,0,0,1,1,0,0,6,-1,164,201,8,8,1,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.3438,0.0,0.4062,1,0,0,1,0,0,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_403,invalid,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,8,-1,235,130,8,8,0,1,1,29,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.6406,1,0,1,1,0,0,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_404,success,success,0
0.857143,0,0.857143,0,0,0,0,1,1,0,0,6,-1,418,312,6,6,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,error,invalid,empty,0
0.9375,1,0.9375,0,0,1,0,1,1,0,0,6,-1,392,338,6,4,0,1,0,-1,-1,1,0,0,1,1,0,0,1,0,0,0.0,0.0,0.5938,1,1,0,1,0,0,1,0,0,0,0,0,suspected_unconfirmed,high lexical similarity but insufficient phishing evidence,partial,success,success,skipped,success,invalid,success,0
0.9375,1,0.9375,0,0,1,0,1,1,0,0,4,-1,147,218,6,4,0,1,1,64,-1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.6406,1,1,1,1,0,0,1,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,complete,success,success,skipped,success,success,success,0
0.923077,1,0.923077,0,0,1,0,1,1,0,0,6,-1,7979,56,6,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,error,error,empty,0
0.923077,1,0.923077,0,0,1,0,1,1,0,0,6,-1,7979,56,6,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,error,error,empty,0
0.923077,1,0.923077,0,0,1,0,1,1,0,0,6,-1,7979,56,6,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,error,error,empty,0
0.923077,1,0.923077,0,0,1,0,1,1,0,0,6,-1,7979,56,6,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,error,error,empty,0
0.923077,1,0.923077,0,0,1,0,1,1,0,0,6,-1,7979,56,6,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,error,error,empty,0
0.875,1,0.875,0,0,1,0,1,1,0,0,6,-1,9640,222,8,8,1,1,0,-1,-1,0,1,1,0,1,0,1,0,0,0,0.0,0.0,0.5469,1,0,0,1,0,0,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_403,invalid,success,0
