url,domain,target_brand_domain,critical_sector_entity_name,source_label,source_file,source_row,dns_status,dns_check_pass,dns_resolves_to_ip,resolved_ips,cname_exists,cname_chain_length,dns_error,validation_status,validation_reason
login-abdm.gov.in,login-abdm.gov.in,abdm.gov.in,National Health Authority (NHA),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
abdm-login.gov.in,abdm-login.gov.in,abdm.gov.in,National Health Authority (NHA),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
secure-abdm.gov.in,secure-abdm.gov.in,abdm.gov.in,National Health Authority (NHA),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
abdm-secure.gov.in,abdm-secure.gov.in,abdm.gov.in,National Health Authority (NHA),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
verify-abdm.gov.in,verify-abdm.gov.in,abdm.gov.in,National Health Authority (NHA),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
abdm-verify.gov.in,abdm-verify.gov.in,abdm.gov.in,National Health Authority (NHA),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
portal-abdm.gov.in,portal-abdm.gov.in,abdm.gov.in,National Health Authority (NHA),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
abdm-portal.gov.in,abdm-portal.gov.in,abdm.gov.in,National Health Authority (NHA),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
auth-abdm.gov.in,auth-abdm.gov.in,abdm.gov.in,National Health Authority (NHA),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
abdm-auth.gov.in,abdm-auth.gov.in,abdm.gov.in,National Health Authority (NHA),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
mg0vcloud.in,mg0vcloud.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
mgovcl0ud.in,mgovcl0ud.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
login-mgovcloud.in,login-mgovcloud.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
mgovcloud-login.in,mgovcloud-login.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
secure-mgovcloud.in,secure-mgovcloud.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
mgovcloud-secure.in,mgovcloud-secure.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
verify-mgovcloud.in,verify-mgovcloud.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
mgovcloud-verify.in,mgovcloud-verify.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
portal-mgovcloud.in,portal-mgovcloud.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
mgovcloud-portal.in,mgovcloud-portal.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
auth-mgovcloud.in,auth-mgovcloud.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
mgovcloud-auth.in,mgovcloud-auth.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
a1ims.edu,a1ims.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
alims.edu,alims.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
ai1ms.edu,ai1ms.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
ailms.edu,ailms.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
login-aiims.edu,login-aiims.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
aiims-login.edu,aiims-login.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
secure-aiims.edu,secure-aiims.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
aiims-secure.edu,aiims-secure.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
verify-aiims.edu,verify-aiims.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
aiims-verify.edu,aiims-verify.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
portal-aiims.edu,portal-aiims.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
aiims-portal.edu,aiims-portal.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
auth-aiims.edu,auth-aiims.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
aiims-auth.edu,aiims-auth.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
a1imsexams.ac.in,a1imsexams.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
alimsexams.ac.in,alimsexams.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
ai1msexams.ac.in,ai1msexams.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
ailmsexams.ac.in,ailmsexams.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
aiims3xams.ac.in,aiims3xams.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
aiimsex4ms.ac.in,aiimsex4ms.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
aiimsexam5.ac.in,aiimsexam5.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
login-aiimsexams.ac.in,login-aiimsexams.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
aiimsexams-login.ac.in,aiimsexams-login.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
secure-aiimsexams.ac.in,secure-aiimsexams.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
aiimsexams-secure.ac.in,aiimsexams-secure.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
verify-aiimsexams.ac.in,verify-aiimsexams.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
aiimsexams-verify.ac.in,aiimsexams-verify.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
portal-aiimsexams.ac.in,portal-aiimsexams.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
aiimsexams-portal.ac.in,aiimsexams-portal.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
auth-aiimsexams.ac.in,auth-aiimsexams.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
aiimsexams-auth.ac.in,aiimsexams-auth.ac.in,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
4irindia.com,4irindia.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
a1rindia.com,a1rindia.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
alrindia.com,alrindia.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
air1ndia.com,air1ndia.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airind1a.com,airind1a.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindla.com,airindla.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindi4.com,airindi4.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
login-airindia.com,login-airindia.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindia-login.com,airindia-login.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
secure-airindia.com,secure-airindia.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindia-secure.com,airindia-secure.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
verify-airindia.com,verify-airindia.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindia-verify.com,airindia-verify.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
portal-airindia.com,portal-airindia.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindia-portal.com,airindia-portal.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
auth-airindia.com,auth-airindia.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
airindia-auth.com,airindia-auth.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
4irindiaexpress.com,4irindiaexpress.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
a1rindiaexpress.com,a1rindiaexpress.com,airindia.com,Air India,Unlabeled,main_detector_targets,0,error,0,0,,0,0,gaierror,dns_failed_skipped,DNS failed before feature extraction; excluded from ML input
