url,cse,score,reason,match_type
h13vl.top,vi,0.93,prefix_suffix,lexical
26124595.vip,vi,0.93,prefix_suffix,lexical
neuronest.clinic,nic,0.93,prefix_suffix,lexical
rohvi.vip,vi,0.93,prefix_suffix,lexical
nlpjq.vip,vi,0.93,prefix_suffix,lexical
vineromance.com,vi,0.93,prefix_suffix,lexical
costumevi.xyz,vi,0.93,prefix_suffix,lexical
viagrakorea.com,vi,0.93,prefix_suffix,lexical
nickslastresort.com,nic,0.93,prefix_suffix,lexical
betvn14.vip,vi,0.93,prefix_suffix,lexical
videosubscription.com,vi,0.93,prefix_suffix,lexical
orbis-clinnic.site,nic,0.93,prefix_suffix,lexical
vilamonteor.com,vi,0.93,prefix_suffix,lexical
vlbcp.com,vi,0.93,prefix_suffix,lexical
kewgardensclinic.online,nic,0.93,prefix_suffix,lexical
vis-art.pro,vi,0.93,prefix_suffix,lexical
vilamargot.com,vi,0.93,prefix_suffix,lexical
960rr.vip,vi,0.93,prefix_suffix,lexical
myvip-vip.makeup,vi,0.93,prefix_suffix,lexical
26645590.vip,vi,0.93,prefix_suffix,lexical
vinylbargainbox.com,vi,0.93,prefix_suffix,lexical
wjfkw106.vip,vi,0.93,prefix_suffix,lexical
virginionastri.com,vi,0.93,prefix_suffix,lexical
joya9-vip.net,vi,0.93,prefix_suffix,lexical
notaryllawmax.vip,vi,0.93,prefix_suffix,lexical
4zyfv1.top,vi,0.93,prefix_suffix,lexical
ahurh306.vip,vi,0.93,prefix_suffix,lexical
sg688.vip,vi,0.93,prefix_suffix,lexical
visuware.com,vi,0.93,prefix_suffix,lexical
cloudhqdev1.com,vi,0.93,prefix_suffix,lexical
drivewaymechanic.net,nic,0.93,prefix_suffix,lexical
nv1.biz,vi,0.93,prefix_suffix,lexical
yd58804.vip,vi,0.93,prefix_suffix,lexical
rbajee4.vip,vi,0.93,prefix_suffix,lexical
psoqi.vip,vi,0.93,prefix_suffix,lexical
snooze-sack.com,sac,0.93,prefix_suffix,lexical
inkavi.fr,vi,0.93,prefix_suffix,lexical
uj7zsl.vip,vi,0.93,prefix_suffix,lexical
ciemhcavi.online,vi,0.93,prefix_suffix,lexical
2ceo-vip.pro,vi,0.93,prefix_suffix,lexical
nicecabemanis88.site,nic,0.93,prefix_suffix,lexical
aiipznt.vip,vi,0.93,prefix_suffix,lexical
viperworks.com,vi,0.93,prefix_suffix,lexical
yjdisappear.vip,vi,0.93,prefix_suffix,lexical
vistapartnershub.com,vi,0.93,prefix_suffix,lexical
vic.forex,vi,0.93,prefix_suffix,lexical
visitahalifax.com,vi,0.93,prefix_suffix,lexical
semasec.vip,vi,0.93,prefix_suffix,lexical
e3ma2.vip,vi,0.93,prefix_suffix,lexical
goldenknmrv.vip,vi,0.93,prefix_suffix,lexical
26124491.vip,vi,0.93,prefix_suffix,lexical
sikavi.org,vi,0.93,prefix_suffix,lexical
villadaesch.com,vi,0.93,prefix_suffix,lexical
txp1688oveothtr.vip,vi,0.93,prefix_suffix,lexical
michalvi.com,vi,0.93,prefix_suffix,lexical
viajando.us,vi,0.93,prefix_suffix,lexical
villadesfleursdajoncs.com,vi,0.93,prefix_suffix,lexical
burl-vi.online,vi,0.98,exact_label,lexical
76594.vip,vi,0.93,prefix_suffix,lexical
hfbmo.vip,vi,0.93,prefix_suffix,lexical
70936.vip,vi,0.93,prefix_suffix,lexical
nickhauenstein.net,nic,0.93,prefix_suffix,lexical
26124399.vip,vi,0.93,prefix_suffix,lexical
buildronic.com,nic,0.93,prefix_suffix,lexical
betcio-adresorjinal.vip,vi,0.93,prefix_suffix,lexical
withaxis.app,axis,0.93,prefix_suffix,lexical
y7124414.vip,vi,0.93,prefix_suffix,lexical
villagoalanzarote.com,vi,0.93,prefix_suffix,lexical
piabetmobil.vip,vi,0.93,prefix_suffix,lexical
swancoin4.vip,vi,0.93,prefix_suffix,lexical
rblbiek.icu,rbi,0.93,prefix_suffix,lexical
infernic.net,nic,0.93,prefix_suffix,lexical
nhattamsalon.com,nha,0.93,prefix_suffix,lexical
mdx-victoria.com,vi,0.93,prefix_suffix,lexical
50197.vip,vi,0.93,prefix_suffix,lexical
rbinky.com,rbi,0.93,prefix_suffix,lexical
violen.asia,vi,0.93,prefix_suffix,lexical
50594.vip,vi,0.93,prefix_suffix,lexical
sbidigitalhub.sbs,sbi,0.93,prefix_suffix,lexical
inlne.vip,vi,0.93,prefix_suffix,lexical
restbetguncel01.vip,vi,0.93,prefix_suffix,lexical
viora.top,vi,0.93,prefix_suffix,lexical
sky77daftar.vip,vi,0.93,prefix_suffix,lexical
68332.vip,vi,0.93,prefix_suffix,lexical
releaseandrecovery.vip,vi,0.93,prefix_suffix,lexical
maradona.vip,vi,0.93,prefix_suffix,lexical
didi51-t0343.vip,vi,0.93,prefix_suffix,lexical
evi-brames.online,vi,0.93,prefix_suffix,lexical
39450.vip,vi,0.93,prefix_suffix,lexical
vibe5.xyz,vi,0.93,prefix_suffix,lexical
openpr.us,nic,0.93,prefix_suffix,lexical
victoriagarvin.com,vi,0.93,prefix_suffix,lexical
navi.vision,vi,0.93,prefix_suffix,lexical
y7124316.vip,vi,0.93,prefix_suffix,lexical
hoannguyenvi.com,vi,0.93,prefix_suffix,lexical
ivoireci.com,eci,0.93,prefix_suffix,lexical
djemtronic.com,nic,0.93,prefix_suffix,lexical
virtualstrength360.com,vi,0.93,prefix_suffix,lexical
ataraxis.us,axis,0.93,prefix_suffix,lexical
violentlycrackhermit.monster,vi,0.93,prefix_suffix,lexical
vizzor-brain.cloud,vi,0.93,prefix_suffix,lexical
vn776.vip,vi,0.93,prefix_suffix,lexical
prvhub.vip,vi,0.93,prefix_suffix,lexical
villadeipini.com,vi,0.93,prefix_suffix,lexical
vitaminsequilibrev.info,vi,0.93,prefix_suffix,lexical
vibspecial.com,vi,0.93,prefix_suffix,lexical
viajarestademoda.com,vi,0.93,prefix_suffix,lexical
escobucksatasehir.vip,vi,0.93,prefix_suffix,lexical
z5555.vip,vi,0.93,prefix_suffix,lexical
billionaires777.vip,vi,0.93,prefix_suffix,lexical
visuallogic.work,vi,0.93,prefix_suffix,lexical
0q1pls.vip,vi,0.93,prefix_suffix,lexical
26124596.vip,vi,0.93,prefix_suffix,lexical
670808.xyz,bob,0.93,prefix_suffix,lexical
8se41.top,bse,0.93,prefix_suffix,lexical
nicolestahel.coach,nic,0.93,prefix_suffix,lexical
ihnlm.vip,vi,0.93,prefix_suffix,lexical
rvl-pharmaceuticals.com,vi,0.93,prefix_suffix,lexical
vizzid.com,vi,0.93,prefix_suffix,lexical
